CaptureTimeUnixMs;CalcXEccDeg;CalcYEccDeg;Valid;GazeForwardX;GazeForwardY;GazeForwardZ;StimulusId
1764711305942;-2.9809;1.8988;VALID;-0.051975;0.033089;0.998100;still-images-phyiscs180-2
1764711305947;-2.9693;1.9283;VALID;-0.051771;0.033603;0.998094;still-images-phyiscs180-2
1764711305952;-3.0132;1.8527;VALID;-0.052539;0.032286;0.998097;still-images-phyiscs180-2
1764711305957;-3.0695;1.8533;VALID;-0.053519;0.032295;0.998045;still-images-phyiscs180-2
1764711305962;-3.2414;1.8206;VALID;-0.056515;0.031720;0.997898;still-images-phyiscs180-2
1764711305967;-3.1087;1.7874;VALID;-0.054204;0.031144;0.998044;still-images-phyiscs180-2
1764711305972;-2.7933;1.7157;VALID;-0.048711;0.029905;0.998365;still-images-phyiscs180-2
1764711305977;-1.8372;2.9067;VALID;-0.032019;0.050684;0.998201;still-images-phyiscs180-2
1764711305982;-1.7032;3.0104;VALID;-0.029682;0.052494;0.998180;still-images-phyiscs180-2
1764711305987;-1.5329;3.1921;VALID;-0.026710;0.055664;0.998092;still-images-phyiscs180-2
1764711305992;-1.3128;3.6031;VALID;-0.022866;0.062828;0.997762;still-images-phyiscs180-2
1764711305997;-1.2015;3.7976;VALID;-0.020922;0.066217;0.997586;still-images-phyiscs180-2
1764711306002;-1.1176;3.9412;VALID;-0.019458;0.068720;0.997446;still-images-phyiscs180-2
1764711306007;-1.0652;4.1964;VALID;-0.018540;0.073163;0.997148;still-images-phyiscs180-2
1764711306012;-1.0322;4.3491;VALID;-0.017963;0.075820;0.996960;still-images-phyiscs180-2
1764711306017;-0.9961;4.5372;VALID;-0.017331;0.079094;0.996717;still-images-phyiscs180-2
1764711306022;-0.9078;4.7361;VALID;-0.015789;0.082556;0.996461;still-images-phyiscs180-2
1764711306027;-0.8594;4.8682;VALID;-0.014945;0.084855;0.996281;still-images-phyiscs180-2
1764711306032;-0.8818;4.9384;VALID;-0.015333;0.086075;0.996171;still-images-phyiscs180-2
1764711306037;-0.8491;5.0105;VALID;-0.014762;0.087329;0.996070;still-images-phyiscs180-2
1764711306042;-0.9093;5.0692;VALID;-0.015808;0.088347;0.995964;still-images-phyiscs180-2
1764711306047;-0.8851;5.1994;VALID;-0.015384;0.090612;0.995768;still-images-phyiscs180-2
1764711306052;-0.8947;5.2932;VALID;-0.015549;0.092241;0.995615;still-images-phyiscs180-2
1764711306057;-0.9077;5.3934;VALID;-0.015771;0.093982;0.995449;still-images-phyiscs180-2
1764711306062;-0.9026;5.4180;VALID;-0.015682;0.094410;0.995410;still-images-phyiscs180-2
1764711306067;-0.8947;5.4476;VALID;-0.015545;0.094924;0.995363;still-images-phyiscs180-2
1764711306072;-0.8467;5.4985;VALID;-0.014710;0.095809;0.995291;still-images-phyiscs180-2
1764711306077;-0.8638;5.4934;VALID;-0.015006;0.095721;0.995295;still-images-phyiscs180-2
1764711306082;-0.8855;5.4018;VALID;-0.015386;0.094129;0.995441;still-images-phyiscs180-2
1764711306087;-0.8916;5.3514;VALID;-0.015492;0.093253;0.995522;still-images-phyiscs180-2
1764711306092;-0.9504;5.3753;VALID;-0.016514;0.093666;0.995467;still-images-phyiscs180-2
1764711306097;-0.9250;5.6271;VALID;-0.016066;0.098041;0.995053;still-images-phyiscs180-2
1764711306102;-0.8942;5.5826;VALID;-0.015532;0.097268;0.995137;still-images-phyiscs180-2
1764711306107;-0.8906;5.5685;VALID;-0.015470;0.097023;0.995162;still-images-phyiscs180-2
1764711306112;-0.8651;5.4247;VALID;-0.015031;0.094527;0.995409;still-images-phyiscs180-2
1764711306117;-0.8807;5.3233;VALID;-0.015304;0.092765;0.995570;still-images-phyiscs180-2
1764711306122;-0.8539;5.2322;VALID;-0.014841;0.091182;0.995724;still-images-phyiscs180-2
1764711306127;-0.8631;5.1703;VALID;-0.015002;0.090107;0.995819;still-images-phyiscs180-2
1764711306132;-0.8436;5.2665;VALID;-0.014660;0.091778;0.995672;still-images-phyiscs180-2
1764711306137;-0.8242;5.2309;VALID;-0.014325;0.091160;0.995733;still-images-phyiscs180-2
1764711306142;-0.8689;5.2040;VALID;-0.015102;0.090691;0.995765;still-images-phyiscs180-2
1764711306147;-0.9901;5.1522;VALID;-0.017210;0.089789;0.995812;still-images-phyiscs180-2
1764711306152;-0.9198;5.1018;VALID;-0.015989;0.088915;0.995911;still-images-phyiscs180-2
1764711306157;0.0034;5.3158;VALID;0.000059;0.092646;0.995699;still-images-phyiscs180-2
1764711306162;0.2393;5.4848;VALID;0.004157;0.095582;0.995413;still-images-phyiscs180-2
1764711306167;0.9649;5.3065;VALID;0.016767;0.092471;0.995574;still-images-phyiscs180-2
1764711306172;1.4037;5.1954;VALID;0.024397;0.090525;0.995595;still-images-phyiscs180-2
1764711306177;1.7474;5.0225;VALID;0.030375;0.087506;0.995701;still-images-phyiscs180-2
1764711306182;2.0000;4.9944;VALID;0.034767;0.087006;0.995601;still-images-phyiscs180-2
1764711306187;2.2545;4.9856;VALID;0.039189;0.086838;0.995451;still-images-phyiscs180-2
1764711306192;2.4604;4.9968;VALID;0.042766;0.087020;0.995288;still-images-phyiscs180-2
1764711306197;2.5164;5.0800;VALID;0.043733;0.088462;0.995119;still-images-phyiscs180-2
1764711306202;2.6024;5.0659;VALID;0.045227;0.088211;0.995075;still-images-phyiscs180-2
1764711306207;2.6491;5.0432;VALID;0.046041;0.087814;0.995072;still-images-phyiscs180-2
1764711306212;2.7333;5.0048;VALID;0.047506;0.087141;0.995063;still-images-phyiscs180-2
1764711306217;2.7308;5.0738;VALID;0.047457;0.088339;0.994959;still-images-phyiscs180-2
1764711306222;2.7873;5.0642;VALID;0.048438;0.088168;0.994927;still-images-phyiscs180-2
1764711306227;2.8023;5.1053;VALID;0.048696;0.088880;0.994851;still-images-phyiscs180-2
1764711306232;2.8589;5.0079;VALID;0.049686;0.087186;0.994952;still-images-phyiscs180-2
1764711306237;2.9122;4.9584;VALID;0.050617;0.086321;0.994981;still-images-phyiscs180-2
1764711306242;2.0399;4.3250;VALID;0.035494;0.075367;0.996524;still-images-phyiscs180-2
1764711306247;-0.9934;4.4904;VALID;-0.017284;0.078281;0.996782;still-images-phyiscs180-2
1764711306252;-1.4442;4.8606;VALID;-0.025112;0.084705;0.996090;still-images-phyiscs180-2
1764711306257;-4.4952;2.5594;VALID;-0.078297;0.044518;0.995936;still-images-phyiscs180-2
1764711306262;-4.7831;2.6987;VALID;-0.083291;0.046920;0.995420;still-images-phyiscs180-2
1764711306267;-7.2275;1.3992;VALID;-0.125773;0.024225;0.991763;still-images-phyiscs180-2
1764711306272;-6.8019;1.4876;VALID;-0.118397;0.025778;0.992632;still-images-phyiscs180-2
1764711306277;-6.9248;1.5607;VALID;-0.120523;0.027038;0.992342;still-images-phyiscs180-2
1764711306282;-7.7825;1.1419;VALID;-0.135386;0.019745;0.990596;still-images-phyiscs180-2
1764711306287;-8.2711;0.9461;VALID;-0.143838;0.016340;0.989466;still-images-phyiscs180-2
1764711306292;-9.6100;0.9456;VALID;-0.166918;0.016272;0.985836;still-images-phyiscs180-2
1764711306297;-9.6471;0.8557;VALID;-0.167561;0.014723;0.985752;still-images-phyiscs180-2
1764711306302;-9.6402;0.7740;VALID;-0.167446;0.013318;0.985791;still-images-phyiscs180-2
1764711306307;-9.6424;0.6730;VALID;-0.167487;0.011580;0.985806;still-images-phyiscs180-2
1764711306312;-9.6460;0.6421;VALID;-0.167551;0.011048;0.985802;still-images-phyiscs180-2
1764711306317;-9.6507;0.6454;VALID;-0.167631;0.011106;0.985787;still-images-phyiscs180-2
1764711306322;-9.6723;0.5844;VALID;-0.168004;0.010055;0.985735;still-images-phyiscs180-2
1764711306327;-9.6705;0.5266;VALID;-0.167976;0.009060;0.985750;still-images-phyiscs180-2
1764711306332;-9.6841;0.4874;VALID;-0.168210;0.008385;0.985716;still-images-phyiscs180-2
1764711306337;-9.6750;0.4526;VALID;-0.168055;0.007786;0.985747;still-images-phyiscs180-2
1764711306342;-9.6727;0.4263;VALID;-0.168016;0.007335;0.985757;still-images-phyiscs180-2
1764711306347;-9.6550;0.4523;VALID;-0.167711;0.007782;0.985806;still-images-phyiscs180-2
1764711306352;-9.6469;0.4570;VALID;-0.167570;0.007863;0.985829;still-images-phyiscs180-2
1764711306357;-9.6425;0.4640;VALID;-0.167496;0.007984;0.985841;still-images-phyiscs180-2
1764711306362;-9.6252;0.4864;VALID;-0.167196;0.008369;0.985888;still-images-phyiscs180-2
1764711306367;-9.5917;0.4756;VALID;-0.166621;0.008184;0.985987;still-images-phyiscs180-2
1764711306372;-9.5961;0.4537;VALID;-0.166697;0.007808;0.985977;still-images-phyiscs180-2
1764711306377;-9.5843;0.4729;VALID;-0.166493;0.008138;0.986009;still-images-phyiscs180-2
1764711306382;-9.5830;0.4886;VALID;-0.166471;0.008408;0.986011;still-images-phyiscs180-2
1764711306387;-9.5331;0.4497;VALID;-0.165613;0.007740;0.986161;still-images-phyiscs180-2
1764711306392;-9.5145;0.4342;VALID;-0.165293;0.007473;0.986216;still-images-phyiscs180-2
1764711306397;-9.5164;0.4322;VALID;-0.165325;0.007440;0.986211;still-images-phyiscs180-2
1764711306402;-9.5495;0.4267;VALID;-0.165895;0.007343;0.986116;still-images-phyiscs180-2
1764711306407;-9.5888;0.3973;VALID;-0.166572;0.006837;0.986006;still-images-phyiscs180-2
1764711306412;-9.6054;0.3645;VALID;-0.166858;0.006273;0.985961;still-images-phyiscs180-2
1764711306417;-9.6054;0.2931;VALID;-0.166860;0.005043;0.985968;still-images-phyiscs180-2
1764711306422;-9.6252;0.2165;VALID;-0.167202;0.003725;0.985916;still-images-phyiscs180-2
1764711306427;-9.6299;0.2596;VALID;-0.167281;0.004468;0.985899;still-images-phyiscs180-2
1764711306432;-9.6161;0.2913;VALID;-0.167043;0.005013;0.985937;still-images-phyiscs180-2
1764711306437;-9.5987;0.2934;VALID;-0.166744;0.005048;0.985987;still-images-phyiscs180-2
1764711306442;-9.5670;0.3277;VALID;-0.166198;0.005640;0.986076;still-images-phyiscs180-2
1764711306447;-9.5793;0.4243;VALID;-0.166408;0.007302;0.986030;still-images-phyiscs180-2
1764711306452;-9.5771;0.4381;VALID;-0.166370;0.007540;0.986035;still-images-phyiscs180-2
1764711306457;-9.6531;0.4624;VALID;-0.167677;0.007956;0.985810;still-images-phyiscs180-2
1764711306462;-9.9261;0.3883;VALID;-0.172374;0.006676;0.985009;still-images-phyiscs180-2
1764711306467;-7.2104;0.2991;VALID;-0.125513;0.005179;0.992079;still-images-phyiscs180-2
1764711306472;-7.8538;0.0850;VALID;-0.136646;0.001470;0.990619;still-images-phyiscs180-2
1764711306477;-5.2420;-0.4483;VALID;-0.091360;-0.007791;0.995787;still-images-phyiscs180-2
1764711306482;-5.1163;-0.5015;VALID;-0.089175;-0.008718;0.995978;still-images-phyiscs180-2
1764711306487;-1.5205;-0.6369;VALID;-0.026533;-0.011111;0.999586;still-images-phyiscs180-2
1764711306492;-1.9383;-0.5451;VALID;-0.033821;-0.009508;0.999383;still-images-phyiscs180-2
1764711306497;-1.5187;-0.0648;VALID;-0.026502;-0.001131;0.999648;still-images-phyiscs180-2
1764711306502;0.0732;0.2354;VALID;0.001278;0.004108;0.999991;still-images-phyiscs180-2
1764711306507;0.4154;0.7642;VALID;0.007249;0.013337;0.999885;still-images-phyiscs180-2
1764711306512;0.7300;0.9685;VALID;0.012739;0.016901;0.999776;still-images-phyiscs180-2
1764711306517;1.0960;1.0863;VALID;0.019125;0.018955;0.999637;still-images-phyiscs180-2
1764711306522;1.4393;1.0745;VALID;0.025113;0.018746;0.999509;still-images-phyiscs180-2
1764711306527;1.5919;1.0255;VALID;0.027776;0.017890;0.999454;still-images-phyiscs180-2
1764711306532;1.7114;0.8713;VALID;0.029862;0.015200;0.999439;still-images-phyiscs180-2
1764711306537;1.7554;0.7792;VALID;0.030630;0.013593;0.999438;still-images-phyiscs180-2
1764711306542;1.7825;0.7269;VALID;0.031103;0.012679;0.999436;still-images-phyiscs180-2
1764711306547;1.6048;0.7858;VALID;0.028002;0.013708;0.999514;still-images-phyiscs180-2
1764711306552;1.6530;0.7886;VALID;0.028843;0.013758;0.999489;still-images-phyiscs180-2
1764711306557;1.6766;0.7872;VALID;0.029256;0.013733;0.999478;still-images-phyiscs180-2
1764711306562;1.7164;0.7649;VALID;0.029951;0.013343;0.999462;still-images-phyiscs180-2
1764711306567;1.7677;0.7936;VALID;0.030845;0.013844;0.999428;still-images-phyiscs180-2
1764711306572;1.7883;0.8228;VALID;0.031203;0.014352;0.999410;still-images-phyiscs180-2
1764711306577;1.7681;0.8276;VALID;0.030851;0.014437;0.999420;still-images-phyiscs180-2
1764711306582;1.7862;0.8017;VALID;0.031168;0.013985;0.999416;still-images-phyiscs180-2
1764711306587;1.7716;0.8569;VALID;0.030912;0.014947;0.999410;still-images-phyiscs180-2
1764711306592;1.9603;0.8716;VALID;0.034204;0.015202;0.999299;still-images-phyiscs180-2
1764711306597;2.0750;0.5261;VALID;0.036206;0.009177;0.999302;still-images-phyiscs180-2
1764711306602;2.0617;0.5925;VALID;0.035973;0.010334;0.999299;still-images-phyiscs180-2
1764711306607;2.0270;0.6311;VALID;0.035369;0.011007;0.999314;still-images-phyiscs180-2
1764711306612;1.9879;0.6654;VALID;0.034686;0.011606;0.999331;still-images-phyiscs180-2
1764711306617;1.8502;0.3489;VALID;0.032287;0.006085;0.999460;still-images-phyiscs180-2
1764711306622;1.8439;0.3894;VALID;0.032175;0.006792;0.999459;still-images-phyiscs180-2
1764711306627;1.8753;0.4984;VALID;0.032723;0.008695;0.999427;still-images-phyiscs180-2
1764711306632;1.9367;0.7164;VALID;0.033793;0.012497;0.999351;still-images-phyiscs180-2
1764711306637;2.0084;0.8448;VALID;0.035043;0.014734;0.999277;still-images-phyiscs180-2
1764711306642;2.1377;0.7414;VALID;0.037298;0.012930;0.999221;still-images-phyiscs180-2
1764711306647;2.0976;1.0934;VALID;0.036595;0.019069;0.999148;still-images-phyiscs180-2
1764711306652;2.0715;1.1356;VALID;0.036139;0.019806;0.999151;still-images-phyiscs180-2
1764711306657;2.0920;1.1252;VALID;0.036497;0.019623;0.999141;still-images-phyiscs180-2
1764711306662;2.1257;1.1953;VALID;0.037084;0.020845;0.999095;still-images-phyiscs180-2
1764711306667;2.1122;1.3814;VALID;0.036846;0.024091;0.999031;still-images-phyiscs180-2
1764711306672;2.0662;1.5411;VALID;0.036041;0.026877;0.998989;still-images-phyiscs180-2
1764711306677;2.0507;1.6497;VALID;0.035769;0.028770;0.998946;still-images-phyiscs180-2
1764711306682;2.1274;1.7847;VALID;0.037104;0.031123;0.998827;still-images-phyiscs180-2
1764711306687;2.1213;1.6731;VALID;0.037000;0.029177;0.998889;still-images-phyiscs180-2
1764711306692;2.1035;1.7889;VALID;0.036688;0.031197;0.998840;still-images-phyiscs180-2
1764711306697;2.1260;1.8451;VALID;0.037078;0.032176;0.998794;still-images-phyiscs180-2
1764711306702;2.1400;1.8645;VALID;0.037322;0.032514;0.998774;still-images-phyiscs180-2
1764711306707;2.1773;1.9614;VALID;0.037970;0.034202;0.998693;still-images-phyiscs180-2
1764711306712;2.2665;1.8777;VALID;0.039526;0.032740;0.998682;still-images-phyiscs180-2
1764711306717;2.2656;1.9548;VALID;0.039509;0.034085;0.998638;still-images-phyiscs180-2
1764711306722;2.1371;1.8179;VALID;0.037272;0.031702;0.998802;still-images-phyiscs180-2
1764711306727;2.0560;1.6222;VALID;0.035861;0.028291;0.998956;still-images-phyiscs180-2
1764711306732;2.0289;1.5442;VALID;0.035391;0.026932;0.999011;still-images-phyiscs180-2
1764711306737;2.0087;1.6235;VALID;0.035037;0.028315;0.998985;still-images-phyiscs180-2
1764711306742;2.0113;1.5742;VALID;0.035084;0.027455;0.999007;still-images-phyiscs180-2
1764711306747;2.0165;1.4493;VALID;0.035175;0.025277;0.999062;still-images-phyiscs180-2
1764711306752;2.0958;1.2293;VALID;0.036561;0.021439;0.999101;still-images-phyiscs180-2
1764711306757;2.0678;1.6466;VALID;0.036068;0.028716;0.998937;still-images-phyiscs180-2
1764711306762;2.0714;1.7035;VALID;0.036130;0.029707;0.998906;still-images-phyiscs180-2
1764711306767;2.1036;1.7201;VALID;0.036690;0.029997;0.998876;still-images-phyiscs180-2
1764711306772;2.0389;1.6305;VALID;0.035564;0.028435;0.998963;still-images-phyiscs180-2
1764711306777;1.9628;1.1455;VALID;0.034243;0.019980;0.999214;still-images-phyiscs180-2
1764711306782;1.9718;0.8670;VALID;0.034404;0.015122;0.999294;still-images-phyiscs180-2
1764711306787;1.9401;0.7605;VALID;0.033852;0.013265;0.999339;still-images-phyiscs180-2
1764711306792;1.8989;0.4708;VALID;0.033135;0.008212;0.999417;still-images-phyiscs180-2
1764711306797;1.8321;0.4096;VALID;0.031971;0.007144;0.999463;still-images-phyiscs180-2
1764711306802;1.8509;0.4310;VALID;0.032298;0.007518;0.999450;still-images-phyiscs180-2
1764711306807;1.8806;0.4836;VALID;0.032816;0.008436;0.999426;still-images-phyiscs180-2
1764711306812;1.9332;0.4235;VALID;0.033734;0.007387;0.999404;still-images-phyiscs180-2
1764711306817;1.9249;0.3361;VALID;0.033589;0.005863;0.999419;still-images-phyiscs180-2
1764711306822;1.9100;0.3940;VALID;0.033329;0.006872;0.999421;still-images-phyiscs180-2
1764711306827;1.9488;0.4986;VALID;0.034006;0.008697;0.999384;still-images-phyiscs180-2
1764711306832;2.0004;0.5699;VALID;0.034905;0.009941;0.999341;still-images-phyiscs180-2
1764711306837;2.0242;0.6492;VALID;0.035320;0.011323;0.999312;still-images-phyiscs180-2
1764711306842;2.0175;0.6739;VALID;0.035202;0.011754;0.999311;still-images-phyiscs180-2
1764711306847;2.0114;0.6283;VALID;0.035097;0.010958;0.999324;still-images-phyiscs180-2
1764711306852;2.0054;0.6425;VALID;0.034992;0.011207;0.999325;still-images-phyiscs180-2
1764711306857;2.0060;0.6602;VALID;0.035002;0.011515;0.999321;still-images-phyiscs180-2
1764711306862;1.9642;0.5477;VALID;0.034274;0.009553;0.999367;still-images-phyiscs180-2
1764711306867;1.9487;0.5544;VALID;0.034004;0.009669;0.999375;still-images-phyiscs180-2
1764711306872;1.9219;0.5477;VALID;0.033535;0.009553;0.999392;still-images-phyiscs180-2
1764711306877;1.8974;0.4966;VALID;0.033108;0.008663;0.999414;still-images-phyiscs180-2
1764711306882;1.8972;0.4522;VALID;0.033105;0.007889;0.999421;still-images-phyiscs180-2
1764711306887;1.9028;0.3339;VALID;0.033203;0.005825;0.999432;still-images-phyiscs180-2
1764711306892;1.8416;0.2644;VALID;0.032136;0.004612;0.999473;still-images-phyiscs180-2
1764711306897;1.7927;0.2093;VALID;0.031284;0.003651;0.999504;still-images-phyiscs180-2
1764711306902;1.7710;0.1835;VALID;0.030904;0.003201;0.999517;still-images-phyiscs180-2
1764711306907;1.8663;0.2776;VALID;0.032567;0.004843;0.999458;still-images-phyiscs180-2
1764711306912;1.8303;0.3205;VALID;0.031940;0.005590;0.999474;still-images-phyiscs180-2
1764711306917;1.8847;0.7361;VALID;0.032885;0.012839;0.999377;still-images-phyiscs180-2
1764711306922;1.8002;-0.3326;VALID;0.031413;-0.005801;0.999490;still-images-phyiscs180-2
1764711306927;1.8149;-0.3302;VALID;0.031670;-0.005760;0.999482;still-images-phyiscs180-2
1764711306932;1.8300;-0.2515;VALID;0.031935;-0.004387;0.999480;still-images-phyiscs180-2
1764711306937;1.8475;-0.1880;VALID;0.032240;-0.003279;0.999475;still-images-phyiscs180-2
1764711306942;1.8646;0.9553;VALID;0.032533;0.016663;0.999332;still-images-phyiscs180-2
1764711306947;1.8678;0.9414;VALID;0.032589;0.016422;0.999334;still-images-phyiscs180-2
1764711306952;1.8767;0.9491;VALID;0.032745;0.016555;0.999327;still-images-phyiscs180-2
1764711306957;1.8711;0.8881;VALID;0.032647;0.015491;0.999347;still-images-phyiscs180-2
1764711306962;1.8679;0.7371;VALID;0.032593;0.012858;0.999386;still-images-phyiscs180-2
1764711306967;1.8881;0.5366;VALID;0.032947;0.009361;0.999413;still-images-phyiscs180-2
1764711306972;1.9278;0.4352;VALID;0.033640;0.007591;0.999405;still-images-phyiscs180-2
1764711306977;2.0531;0.5353;VALID;0.035825;0.009336;0.999315;still-images-phyiscs180-2
1764711306982;2.0009;0.4029;VALID;0.034915;0.007027;0.999366;still-images-phyiscs180-2
1764711306987;1.9872;0.4690;VALID;0.034676;0.008181;0.999365;still-images-phyiscs180-2
1764711306992;2.1891;0.5453;VALID;0.038197;0.009510;0.999225;still-images-phyiscs180-2
1764711306997;2.2017;0.4592;VALID;0.038417;0.008009;0.999230;still-images-phyiscs180-2
1764711307002;2.0765;0.3461;VALID;0.036232;0.006037;0.999325;still-images-phyiscs180-2
1764711307007;2.0530;0.3409;VALID;0.035823;0.005946;0.999341;still-images-phyiscs180-2
1764711307012;2.0411;0.4049;VALID;0.035616;0.007062;0.999341;still-images-phyiscs180-2
1764711307017;2.0656;0.3666;VALID;0.036044;0.006395;0.999330;still-images-phyiscs180-2
1764711307022;2.0677;0.3687;VALID;0.036079;0.006431;0.999328;still-images-phyiscs180-2
1764711307027;2.0785;0.4708;VALID;0.036267;0.008211;0.999308;still-images-phyiscs180-2
1764711307032;2.0793;0.5245;VALID;0.036282;0.009149;0.999300;still-images-phyiscs180-2
1764711307037;2.1675;0.7065;VALID;0.037817;0.012321;0.999209;still-images-phyiscs180-2
1764711307042;2.1704;0.7789;VALID;0.037868;0.013585;0.999190;still-images-phyiscs180-2
1764711307047;2.0441;0.6728;VALID;0.035666;0.011734;0.999295;still-images-phyiscs180-2
1764711307052;2.1636;0.8780;VALID;0.037748;0.015313;0.999170;still-images-phyiscs180-2
1764711307057;2.1384;0.9252;VALID;0.037309;0.016136;0.999174;still-images-phyiscs180-2
1764711307062;2.1864;0.8524;VALID;0.038146;0.014865;0.999162;still-images-phyiscs180-2
1764711307067;2.1653;0.5116;VALID;0.037782;0.008923;0.999246;still-images-phyiscs180-2
1764711307072;2.1280;0.2897;VALID;0.037132;0.005052;0.999298;still-images-phyiscs180-2
1764711307077;2.1102;0.3161;VALID;0.036822;0.005513;0.999307;still-images-phyiscs180-2
1764711307082;1.9410;0.1693;VALID;0.033869;0.002953;0.999422;still-images-phyiscs180-2
1764711307087;2.0183;0.3914;VALID;0.035218;0.006828;0.999356;still-images-phyiscs180-2
1764711307092;2.0678;0.2832;VALID;0.036082;0.004940;0.999337;still-images-phyiscs180-2
1764711307097;1.9039;0.1368;VALID;0.033223;0.002387;0.999445;still-images-phyiscs180-2
1764711307102;2.0135;0.1931;VALID;0.035134;0.003367;0.999377;still-images-phyiscs180-2
1764711307107;2.0240;0.1509;VALID;0.035318;0.002632;0.999373;still-images-phyiscs180-2
1764711307112;2.0210;0.1155;VALID;0.035266;0.002015;0.999376;still-images-phyiscs180-2
1764711307117;2.0541;0.1019;VALID;0.035843;0.001777;0.999356;still-images-phyiscs180-2
1764711307122;2.0076;0.1052;VALID;0.035032;0.001836;0.999385;still-images-phyiscs180-2
1764711307128;2.0262;0.0533;VALID;0.035356;0.000929;0.999374;still-images-phyiscs180-2
1764711307133;2.0002;0.0847;VALID;0.034903;0.001478;0.999390;still-images-phyiscs180-2
1764711307138;2.2052;1.4836;VALID;0.038465;0.025871;0.998925;still-images-phyiscs180-2
1764711307143;2.0988;0.3296;VALID;0.036623;0.005748;0.999313;still-images-phyiscs180-2
1764711307148;2.0784;0.4145;VALID;0.036267;0.007230;0.999316;still-images-phyiscs180-2
1764711307153;2.0591;0.4273;VALID;0.035929;0.007453;0.999327;still-images-phyiscs180-2
1764711307158;2.0571;0.4351;VALID;0.035895;0.007589;0.999327;still-images-phyiscs180-2
1764711307163;2.0572;0.3186;VALID;0.035897;0.005557;0.999340;still-images-phyiscs180-2
1764711307168;2.0432;0.3506;VALID;0.035652;0.006115;0.999346;still-images-phyiscs180-2
1764711307173;2.0424;0.2977;VALID;0.035638;0.005193;0.999351;still-images-phyiscs180-2
1764711307178;2.0236;0.3748;VALID;0.035311;0.006537;0.999355;still-images-phyiscs180-2
1764711307183;2.0260;0.3219;VALID;0.035353;0.005615;0.999359;still-images-phyiscs180-2
1764711307188;2.0055;0.1418;VALID;0.034995;0.002474;0.999385;still-images-phyiscs180-2
1764711307193;2.0677;1.1506;VALID;0.036074;0.020068;0.999148;still-images-phyiscs180-2
1764711307198;2.0492;1.1512;VALID;0.035751;0.020079;0.999159;still-images-phyiscs180-2
1764711307203;2.0727;1.1366;VALID;0.036161;0.019824;0.999149;still-images-phyiscs180-2
1764711307208;2.0613;1.0856;VALID;0.035963;0.018934;0.999174;still-images-phyiscs180-2
1764711307213;2.0248;0.8484;VALID;0.035327;0.014798;0.999266;still-images-phyiscs180-2
1764711307218;1.8653;0.4307;VALID;0.032550;0.007513;0.999442;still-images-phyiscs180-2
1764711307223;1.4295;-0.6024;VALID;0.024945;-0.010510;0.999634;still-images-phyiscs180-2
1764711307228;0.2970;-0.8331;VALID;0.005184;-0.014540;0.999881;still-images-phyiscs180-2
1764711307233;0.1789;-0.7047;VALID;0.003122;-0.012299;0.999920;still-images-phyiscs180-2
1764711307238;-0.3676;-0.6947;VALID;-0.006415;-0.012125;0.999906;still-images-phyiscs180-2
1764711307243;-0.9006;-0.8149;VALID;-0.015717;-0.014220;0.999775;still-images-phyiscs180-2
1764711307248;-1.6293;-1.2026;VALID;-0.028427;-0.020980;0.999376;still-images-phyiscs180-2
1764711307253;-1.9508;-1.3814;VALID;-0.034031;-0.024093;0.999130;still-images-phyiscs180-2
1764711307258;-2.1625;-1.8437;VALID;-0.037714;-0.032150;0.998771;still-images-phyiscs180-2
1764711307263;-2.3515;-2.2467;VALID;-0.040999;-0.039170;0.998391;still-images-phyiscs180-2
1764711307268;-2.4718;-2.2770;VALID;-0.043094;-0.039694;0.998282;still-images-phyiscs180-2
1764711307273;-2.5578;-2.3728;VALID;-0.044589;-0.041360;0.998149;still-images-phyiscs180-2
1764711307278;-2.5433;-2.5379;VALID;-0.044331;-0.044237;0.998037;still-images-phyiscs180-2
1764711307283;-2.6254;-2.5218;VALID;-0.045762;-0.043954;0.997985;still-images-phyiscs180-2
1764711307288;-2.6189;-2.5318;VALID;-0.045649;-0.044129;0.997982;still-images-phyiscs180-2
1764711307293;-2.6147;-2.5729;VALID;-0.045574;-0.044843;0.997954;still-images-phyiscs180-2
1764711307298;-2.6246;-2.5939;VALID;-0.045746;-0.045209;0.997930;still-images-phyiscs180-2
1764711307303;-2.6275;-2.6419;VALID;-0.045795;-0.046044;0.997889;still-images-phyiscs180-2
1764711307308;-2.6346;-2.7401;VALID;-0.045914;-0.047756;0.997803;still-images-phyiscs180-2
1764711307313;-2.7153;-2.6823;VALID;-0.047322;-0.046745;0.997785;still-images-phyiscs180-2
1764711307318;-2.6831;-2.7633;VALID;-0.046757;-0.048158;0.997745;still-images-phyiscs180-2
1764711307323;-2.7488;-2.7423;VALID;-0.047903;-0.047789;0.997708;still-images-phyiscs180-2
1764711307328;-2.7695;-2.7594;VALID;-0.048262;-0.048087;0.997677;still-images-phyiscs180-2
1764711307333;-2.7709;-2.7606;VALID;-0.048287;-0.048106;0.997674;still-images-phyiscs180-2
1764711307338;-2.7854;-2.7211;VALID;-0.048540;-0.047419;0.997695;still-images-phyiscs180-2
1764711307343;-2.7799;-2.7643;VALID;-0.048443;-0.048171;0.997664;still-images-phyiscs180-2
1764711307348;-2.7637;-2.8175;VALID;-0.048159;-0.049099;0.997632;still-images-phyiscs180-2
1764711307353;-2.7684;-2.8185;VALID;-0.048240;-0.049115;0.997627;still-images-phyiscs180-2
